Metric,Baseline XGBoost,Tuned XGBoost,Improvement
Accuracy,0.9575625680087051,0.955386289445049,-0.0021762785636560977
Precision,0.9574470394528106,0.9553549918062937,-0.002092047646516937
Recall,0.9574823297026187,0.9553524042500096,-0.0021299254526091493
Macro F1,0.9574426409217613,0.9553217856401789,-0.0021208552815824566
