Model,Accuracy,Precision (macro),Recall (macro),F1 Score (macro)
Random Forest,0.9477693144722524,0.9480585081052052,0.947792223311788,0.9478315401766019
Baseline XGBoost,0.9575625680087051,0.9574470394528106,0.9574823297026187,0.9574426409217613
Tuned XGBoost,0.955386289445049,0.9553549918062937,0.9553524042500096,0.9553217856401789
Hybrid A (OSM only),0.3939064200217628,0.3904914391494019,0.3925459638615618,0.3838802725410034
Hybrid B (OSM + Spectral),0.4602829162132753,0.4572386501958994,0.4597229691020221,0.45698181415591077
