Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9477693144722524,0.9480585081052052,0.947792223311788,0.9478315401766019
XGBoost,0.9575625680087051,0.9574470394528106,0.9574823297026187,0.9574426409217613
